name,description,cuisine
Creamy Kulfi Kebab Recipe With Tandoori Mayo Recipe,"Tandoori Mayo Kulfi Kebab is chicken wings marinated with cheese, Del Monte Tandoori Mayo, cream and some seasoning which is later wrapped in banana leaf and grilled on stove top. Perfect recipe for your brunch parties that will certainly leave your guests licking their fingers. Del Monte’s Tandoori Mayo is an amazing creamy flavored mayo with authentic Indian taste that works best as a marination for both veg and non veg recipes. ",North Indian Recipes
Jeera Hing Aloo Recipe - No Onion No Garlic Recipe,"Potato is one of the most popular vegetables that is loved by everyone, all over the world. This humble vegetable tastes delicious in all forms. Fry them, mash them, boil them, add them in curry, it’s all simply delicious. It would be hard to find someone who doesn’t love this vegetable.",Indian
Kerala Special Vegetable Stew Recipe,"Kerala, God's own country, is known for its greenery. What can be more fitting compliment to this visual experience but a culinary experience like Kerala Special Vegetable Stew. An array of vegetables like carrots, peas, beans, potatoes are cooked in coconut milk. You can extract fresh coconut milk or use the ready made ones. They are mildly flavoured with Kerala's authentic spices. One does not need too many ingredients to prepare this delicacy. This is a gluten free and vegan dish with international appeal. This extremely popular dish is a must try!",Kerala Recipes
Quick Bread Pizza Recipe,Quick Bread Pizza Recipe is a super quick way to get a pizza made at home for the kids and family. Makes a perfect cooking in a hurry food for the busy weeknights or even a after school snacks for the kids.,Fusion
Focaccia With Cherry Tomatoes & Caramelized Onion Recipe,"Focaccia is an Italian version of a flat baked bread similar to that of a thick crust pizza base. It comes in different versions based on the topping which is usually herbs, tomatoes, cheese, or even meat. The dough of a focaccia is so soft that it can be rolled out by just spreading it out with hands and then pricking it with a fork to keep the bread from puffing.",Italian Recipes
Vegetable Handi Biryani Recipe,"Vegetable Handi Biryani Recipe is a traditionally followed recipe of cooking rice preparation in a huge Handi and thus the name. “Handi” refers to the vessel in which the biryani is cooked, authentically, the biryani is made in two ways. The rice cooked is par boiled with some flavorful spice and the masala for the biryani is made separately. Then they both are layered in a huge handi and sealed with a lid. The edges of the lid are then closed tightly by a wheat dough so that the rice completely cooks in the heat that is generated inside.",North Indian Recipes
Paneer Biryani Recipe,"Paneer Biryani is a family favorite at home. Short grain jeera samba rice is cooked in a classic onion-tomato masala along with whole spices like cardamom, cinnamon, cloves and bay leaves that lend robust flavour to the biryani.",Indian
Chocolate Buckwheat Pancake Skewers Recipe,"Did you know? Buckwheat protein is considered high quality protein, containing all eight essential amino acids. Buckwheat is a fruit-seed and not a grain that is why it makes on the plate during fasts. Get the kids involved and make these Fun Chocolate buckwheat Pancake Skewers this navratras and impress your friends and family with this innovative recipe.",Continental
Khatte Chole Recipe - A Delicious North Indian Chana Masala,Khatte Chole Recipe is a very popular Delhi style street food. It is spicy and tart making for a perfect accompaniment with Gehu Bajra Thepla or even a Kulcha for those special monsoon days. The tartness comes from the addition of dried mango powder or amchoor and the ginger in the recipe makes it flavourful and delicious.,North Indian Recipes
Cabbage Poricha Kootu Recipe (Red Cabbage) - South Indian Cabbage Dal,"The Cabbage Poricha Kootu Recipe is a wholesome and delicious recipe where the moong dal is cooked and mixed along with steamed cabbage and a fresh coconut masala, finished off with a crunchy tadka.  You can use the regular cabbage or the red cabbage to make this south indian kootu recipe which is essentially a cabbage dal with coconut. ",Tamil Nadu
Mexican Sizzler Recipe,"Mexican Sizzler Recipe is a lovely party recipe with a serving of Mexican Fried Rice, Quinoa Patties served hot on a sizzling plate. A perfect one dish recipe to indulge in during the weekends or when you have friend and family over.",Mexican
Foxtail Millet Podi Dosa Recipe,"The Foxtail Millet Podi Dosa Recipe is a wholesome dosa that is made using millets, rice and dal. The addition of foxtail millet makes the dosa extra nutritious and the taste is just as delicious as a regular dosa. Obviously none will notice the addition of millets here, trust me when I served this podi dosa for our weekend brunch everyone enjoyed thoroughly having these crispy dosas.",South Indian Recipes
Chettinad Style Prawn Biryani Recipe,"Chettinad Style Prawn Biryani Recipe is a South Indian version that is cooked with assorted spices and given the authentic Chettinad flavors by a wide usage of shallots, black pepper and coconut. Chettinad of cooking is an integral part of South Indian Cuisine, the rustic flavors of South India brings and amazing texture, flavor, and aroma to the food preparations. Chettinad spices are used both in vegetarian and nonvegetarian cooking and leave an equal impact on both versions. Typically served with raita, Chettinad style Prawn Biryani is a complete and a wholesome meal in itself.",Chettinad
Patra Ni Machi Recipe - Fish Cooked In Banana Leaf,"Anything wrapped in banana leaf and cooked to perfection is the most amazing food to eat in the whole world! I love food cooked in banana leaf. The flavour which the leaf imparts to the dish is just amazing. This kind of food is rustic, homely and lip smacking delicious!",Parsi Recipes
Patra Ni Machi Recipe - Fish Cooked In Banana Leaf,"Anything wrapped in banana leaf and cooked to perfection is the most amazing food to eat in the whole world! I love food cooked in banana leaf. The flavour which the leaf imparts to the dish is just amazing. This kind of food is rustic, homely and lip smacking delicious!",Parsi Recipes
"Vegetarian Mexican Tacos Recipe With Baked Beans, Peppers and Salad","Vegetarian Mexican Tacos is a very popular Mexican dish, that has the crisp tacos filled with salads, beans and topped with cheddar cheese and sour cream. The stuffing for these Taco shells is so varied that recipes are evolved according to palates.",Mexican
Mixed Vegetable Pulao Recipe,The Mixed Vegetable Pulao Recipe is a simple and quick to cook dish for the busy weeknights. Pack the pulao with lots of steamed vegetables as it gives you the required nutrition for the day. You can also pack this for your Lunch Box in the morning.,Indian
Spaghetti Pasta in Basil Pesto Using Archana's Kitchen 100% Durum Wheat Spaghetti Pasta,"The Spaghetti Pasta Recipe in Basil Pesto Sauce is a delicious recipe that has a summery flavour made with fresh basil, sunflower seeds, parmesan cheese, garlic and olive. The rich flavour of basil gets so well absorbed into the pasta that makes it truly delicious and healthy. ",Italian Recipes
Herbed Baby Potatoes Recipe,"Herbed Baby Potatoes is a super simple vegetarian, gluten free recipe where in potatoes are flavoured with fragrant herbs and served with hung curd or greek yogurt dip (the dip recipe might contain garlic, which you can absolutely avoid).",Continental
Carrot and Cucumber Thalipeeth Recipe,Carrot and Cucumber Thalipeeth Recipe is such a comforting dish to be tried at every household. It is purely Sattvic and does not use any onion or garlic in the dish. Thalipeeth are usually Flatbread that are made by using different flour and then flattened it on a foil using your fingers and then cooked on a flat skillet. This dish contains two different vegetable and the combination works out really well.,Maharashtrian Recipes
Mexican Omelette Recipe with Avocado Salsa ,Mexican Omelette Recipe with Avocado Salsa is a lovely healthy breakfast option of an omelette with a fresh avocado salsa. ,Mexican
Goan Chicken Vindaloo Recipe,"There are lots of fables surrounding the Goan Chicken Vindaloo. This curry has emerged from melting pot of Portuguese, Goan and British influences. In fact, the name ""Vindaloo"" is actually a garbled version of the Portuguese dish called carne de vinha d'alhos which translates to ""meat in garlic wine marinade"".",Goan Recipes
Savory French Toast Recipe With Creamy Achari Mushroom,The Savory French Toast Topped is a twist to the classic sweetened French toast. In this recipe we have cooked the french toast along with Nutralite Garlic & Oregano Spread and topped it with a sliced roasted Mushrooms which is tossed in some Achari Mayo lending to a fusion dish. ,Continental
Dangar Pachadi With Grated Carrots Recipe (Urad Dal Raita),"Dangar Pachadi or Urad Dal Pachadi is one of the simplest raitas that can be prepared in no time and with very few ingredients. It is popular among Thanjavur Iyers Brahmins and served along with a main course South Indian Meal consisting of Sambar, Rasam, Kootu, Rice and Sweets.",Indian
Andhra Style Vegetarian Biryani with Soya Chunks Recipe ,Andhra Style Vegetarian Biryani with Soya Chunks Recipe is very different from the Hyderabadi Biryani. The rice is completely tossed with the spicy masala rather than layering the rice with Biryani masala. The chopped tomatoes and ground spice mix will adds in the extra flavor to the rice. Andhra recipes are quite spicy when compared to dishes from other states. The flavors also change from region to region.,Andhra
Menthya Jolada Mudde Recipe - Methi & JOWAR BALLS Recipe,"Menthya Jolada Mudde Recipe - Methi & Jowar Balls Recipe is one of traditional, dish from North Karnataka which may not be known to many. It is a twist to regular ragi mudde recipe that is a common inclusion in Kitchens of Karnataka and Andhra. If you love to include healthy millets to your diet then you should be thinking of using jowar, and give this jolada mudde a try too. It super simple to make and delicious too.",North Karnataka
Bhapa Ilish Recipe (Steamed Hilsa),"For the Bengalis’ fish is an integral part of their lives. A simple fish curry with a side of rice and you are sorted for the day. It is not only an essential food in a Bong household but also considered auspicious at any occasion. Out of all the varieties of fish, Ilish always wins the hearts of the Bongs!",Bengali Recipes
Moroccan Stuffed Roasted Eggplant Recipe ,Moroccan Stuffed Roasted Eggplant Recipe is an interesting way to serve eggplants to your family. ,Continental
Lebanese Spinach Triangle Pies Recipe,Lebanese Spinach Triangle Pies are delicious snacks that make a great party appetizer. Tossed and flavoured spinach along with few other ingredients are stuffed inside a pastry and later shaped cutely to form triangle pies. They are basically from Middle east. ,Middle Eastern
Chana Methi Dal Recipe - Fenugreek & Split Bengal Gram Curry,Chana Methi Dal is a delicious lentil curry made with split Bengal Gram lentil and fresh fenugreek leaves. This recipe is a healthy menu choice for the intake of everyday protein and is also packed with vitamins and minerals. Chana Methi Dal is a fantastic way to sneak in greens in your kids diet as well. Serve Chana Methi Dal along with Phulka and Raita for a wholesome weekday lunch.,North Indian Recipes
Spicy Kiwifruit Salsa & Feta Toasties Recipe,"The Spicy Kiwifruit Salsa & Feta Toasties are made from fresh Zespri Kiwifruit  that have a golden color and is sweet and full of taste. These Kiwi fruits, make perfect desserts or a tea time snack like the one in this recipe. In this recipe the Kiwifruit blends well along with the tabasco sauce, herbs and feta.",Continental
Bajri ki roti recipe,"Bajri Ki Roti Recipe is traditional Indian flatbread prepared with black millet flour. Bajra millet is grown certain parts of Northern India. Thickly rolled these rotis are cooked over charcoal in villages, smeared with plenty of freshly churned white butter and served with Lashun Ki Chutney and onions as a staple for farmers in the area. Extremely nutritious and very high on fibre, millets are a wholesome alternative to carbohydrates. You can serve Bajri Ki Roti with Bharva Baingan, Panchmel Dal and Mooli Raita to make a delicious lunch or dinner for the family.",Indian
Jaipuri Aloo Pyaz Ki Sabzi Recipe Using Preethi Electric Pressure Cooker,Jaipuri Aloo Pyaz Ki Sabzi Recipe is a semi dry sabzi made from baby potatoes and pearl onions in a masaledar tomato based gravy which gives it a tangy and spicy flavour. Jaipuri Aloo Pyaz Ki Sabzi is a traditional recipe from the state of Rajasthan and is usually made during festivals and for feasts.,Rajasthani
Masal Wali Tury Ky Sabzi Recipe - Ridge Gourd Malay Curry,"Masala Wali Turai Ki Sabzi Recipe - Ridge Gourd Masala Curry is a simple quick to make nutritious recipe. Turai is bland in flavour and because of the soft texture of the turai not many people prefer to make it at home. But this recipe of Masala Wali Turai Ki Sabzi will change your thoughts forever about the humble yet super nutritious turai. In this recipe turai is cooked in a tomato gravy with cumin seeds, ginger, coriander powder and red chilli powder and jaggery resulting in a flavour packed curry.",North Indian Recipes
Spicy Thai Pasta Recipe With Roasted Vegetables,Spicy Thai Pasta Recipe is a delicious pasta recipe that packed with flavors from the thai curry paste and roasted vegetables and makes a perfect dinner along with a chilled salad and a juice.,Fusion
Spicy Baby Potatoes Recipe,"Who doesn't like potatoes? I love potatoes in all forms. This is one such humble root that mixes with everything and adapt it's flavor. Those days when you have nothing in your fridge, there comes the potato as rescue.",North Indian Recipes
Vietnamese Style Vegetarian Spring Rolls Recipe With Peanut Dipping Sauce,Vietnamese Style Vegetarian Spring Rolls Recipe With Peanut Dipping Sauce is a recipe with fresh and healthy ingredients rolled in the rice paper. I have made a peanut dipping sauce to go along with the spring rolls. These Vietnamese Style Vegetarian Spring Rolls Recipe With Peanut Dipping Sauce are apt for a light dinner along with a hearty soup like Fennel Turmeric Walnut Soup With Apple And Raw Mango Recipe or Cream of Mushroom & Spring Onion Soup Recipe. It can be served along with tomato sauce other party appetizers as well.,Vietnamese
Tri Color Rotini Sprail Pasta Recipe In Creamy Basyl Shoice,Tri Color Rotini Spirali Pasta Recipe is a made delicious by tossing it in a Creamy White Basil Sauce along with apricots and walnuts. The sauce is made with some aromatic basil leaves which is mixed with milk to create a creamy texture. All you have to do is to just toss in some Del Monte Tri Color Pasta to add a great color and texture to your dish. The pasta is then garnished with dried apricots and toasted nuts for the extra crunch for the kids.,Italian Recipes
Mexican Style Fresh Rajma Bean & Raw Mango Salad Recipe,Fresh Mexican Black Bean & Raw Mango Salad Recipe is an amazing Mexican salad that has black beans and mangoes in them. You get a nice sweet and sour tinge through the mangoes and the tomatoes gives you a fresh and sour taste that tastes yummy. A perfect weight watcher recipe and can be had as a  lunch if you are dieting or as an appetizer. ,Mexican
Potato Spinach Roulade Recipe With Parmesan Cheese & Herbed Butter Sauce,A roulade is a dish of filled rolled meat or pastry. Roulade is very popular breakfast or a dinner dish that is found in  European cuisines. The Potato Spinach Roulade Recipe is a delicious dish where the potato pastry is filled with spinach and rolled and topped with Parmesan Cheese and a Herbed Butter Sauce.,Continental
Amritsari Fish Gravy Recipe,"Amritsari fish fries are extremely popular in Amritsar and all over India, but have you tried to make gravy along with it? Here instead of frying after dipping in batter we have shallow fried the marinated fish with gram flour. Yes the spices tempered with are little different but definitely a dish to give a try. Cook for a mid week Punjabi dinner and surprise your whole family.",North Indian Recipes
Perfect Christmas Roast Potatoes Recipe,"Potatoes are a delicious vegetable, and roasted potatoes are just irresistible. Cooking roasted potatoes for Christmas is a custom in many families and getting the perfect taste and texture needs loads of practise or a simple fool proof recipe. Here is a great Perfect Christmas Roast Potatoes Recipe that will give you perfectly roasted potatoes that are super crispy on the outside and soft inside. You can always add your choice of herbs to the roasted potatoes. ",European
Roasted Chicken Curry Recipe In Spinach Parmesan Sauce,Roasted Chicken Curry Recipe In Spinach Parmesan Sauce is a delicious meal that you can cook for yourself in just 10 minutes. The chicken is seasoned well and pan roasted and simmered in a creamy parmesan sauce.,Continental
Mamsaam Chops Recipe (Lamb Chops in Black Pepper Gravy),"Andhra style Mamsaam Chops i.e Lamb Chops in Black Pepper Gravy is perfect for an evening drinks with friends or with steaming hot rice, dal and a dollop of ghee. The black pepper in the gravy gives the curry a fantastic flavour and depth.",Indian
Spirulina and Mint Basil Pesto Pasta Recipe,Spirulina and Mint Basil Pesto Pasta Recipe is a quick easy to make pasta that has fresh flavors from the cilantro and basil herbs and it is then tossed with some crunchy and soft vegetables. The pasta can be packed and had anytime and still remains fresh and vibrant.,Italian Recipes
Dahi Methi Puri Recipe - Fenugreek Leaves Puri With Yogurt,Dahi Methi Puri Recipe is a crispy puri recipe. Here the puri dough is made by combining methi leaves with whole wheat flour. ,Indian
"Chicken Sausages, Baked Beans and Stir Fried Broccoli Recipe","Chicken Sausages, Baked Beans and Stir Fried Broccoli Recipe is all that you can think of if you would love to have a nice English breakfast. C",Continental
Chilke Wali Mung Dal Curry Recipe,"Split Mung bean dal cooked in aromatic Indian spices, onions and tomatoes; perfect with a bowl of hot steaming rice or any Indian flat bread. It is a perfect recipe to serve during your weekday lunch or dinner.",North Indian Recipes
Apple Pancake Mess Recipe,"What can be more comforting than a pancake and when it is served with some of the healthiest toppings it becomes even better. Apple Pancake Mess is very an interesting recipe. This dish has layers of shredded pancakes and caramelized apples.Then it is topped with yogurt, chia seeds, pomegranate and coconut flakes.This is loved by both adults & kids and super easy to make for breakfast or for dessert.",Continental
Breakfast Enchiladas With Mushroom Sauce Recipe,"Breakfast Enchiladas with Mushroom Sauce is a Mexican inspired wholesome meal, where vegetables, scrambled eggs are wrapped in tortillas and topped with a roasted mushroom sauce. This is a great make-ahead meal since you can make the different components in advance and then assemble them just before serving. Breakfast Enchiladas with Mushroom sauce makes for a hearty meal any time of the day.",Mexican
Amritsari mukh makhani recipe- chicken makhani recipe,Amritsar Murgh Makhani Recipe is a wonderful recipe that can be made for your Sunday Lunch. The gravy is made with ground onion masala that is roasted well in the kadai and then balanced with some tangy tomato puree. This will give the gravy a rich and delicious texture. Then the chicken pieces are cooked in this gravy till all the flavor is developed.,North Indian Recipes
Tamil Nadu Style Coconut Chutney Recipe - For Idli And Dosa,The Tamil Nadu Coconut Chutney Recipe is made from fresh coconut which is ground along with green chilies and ginger and then tossed along with a dash of Lemon or Yogurt that makes it tangy and opens up your palates. This chutney is very simple to make and a very popular accompaniment for all the breakfast dishes in South India. ,South Indian Recipes
Oven Baked Sweet Potato Fries Recipe,"These Oven Baked Sweet Potato (Shakkarkand/Ratala) fries are a great healthy alternative to Potato fries. This is also a great way to include sweet potatoes in your diet, on days other than religious fasts. Flavour them with your favourite spice mix and bake them till they are golden and crisp. Sweet, salty, spicy and crunchy they are an addictive snack! For a sweet version you can also dust them with cinnamon-sugar. Cornstarch is added to the coating to make the sweet Potato fries crisp. You can also use Potato or water chestnut flour.",Continental
Maharashtrian Style Patichya Kandyachi Zunka Recipe -Spring Onions and Besan Sabzi,"Maharashtrian cuisine surprises us with many recipes that are prepared using the day to day kitchen ingredients, when we run out of fresh produce in the pantry. Maharashtrian Style Patichya Kandyachi Zunka Recipe -Spring Onions and Besan Sabzi is one of those, which is prepared using spring onions and chickpea flour (besan). Patichya Kanda means spring onions in Marathi. Patichya Kandyachi Zunka Recipe is a flavourful dish prepared using very less ingredients. Zunka is a traditional dry Maharashtrian recipe preparation made using chickpea flour. If you have spring onions and besan in hand, it can be made in a jiffy when you run out of vegetables.",Maharashtrian Recipes
Andhra Style Chepa Vepudu Recipe - Andhra Fish Fry Recipe,Andhra Style Chepa Vepudu Recipe (Andhra Fish Fry Recipe) is a must try recipe. Andhra cuisine is known for its spicy and strong Indian flavors in most of their dish. Seafood being consumed in most of the coastal parts of Andhra they have a wide range of Seafood dishes which has a good amount of spice and flavor.,Andhra
Lemon Poppy Seeds Pancakes recipe,"Lemon Poppy Seeds Pancakes is yet another sweet treat for your morning breakfast options. The soft spongy bed of pancakes drizzled with warm maple syrup with freshly cut fruit on side make for a delicious, not to mention healthy, start to the day. Pancakes can be made easily with very few basic ingredients, but you can flavour them the way you like with an assortment of additions and combinations. Lemon Poppy Seeds Pancakes Recipe completely for those lemon lovers amongst us. It gets a strong hit of fresh tang from lemon juice additionally boosted by freshly grated zest. ",Continental
Tuna Rasam Bhaji Recipe (Tuna Sabzi Flavored With Rasam Powder),Tuna Rasam Bhaji is one of my favourite dishes. It is an extremely simple dish and goes best with daal and rice. The earthy flavour of the tuna fish paired with crunchy vegetable is delicious.,Fusion
Anhui Style Bean Pancake with Kimchi Recipe ,Anhui Style Bean Pancake with Kimchi Recipe is a wonderful way to add flavor to the Pancakes by incorporating Kimchi flavor making it spicy and tangy. Anhui is a region that has been less known to people in the world. As the people living in this area live in mountain regions they have mainly comforting food that can be made quickly with less ingredients available.,Chinese
Khatti Meethi Tindora Sabzi Recipe - Gujarati Tindora Nu Shaak,"Tindora Shaak or Khatha Meetiti Tindora recipe is a very simple and quipe dish that is very native to India. Each region of India Calls is by Nams like Dondaikkai, Kovakkai, Tinda, Tendly or Tindora.",Indian
Spinach and Basil Pasta Sauce Recipe ,"Spinach and Basil Pasta Sauce Recipe is a tasty twist to the normal pasta sauce which we usually make it white or tomato based sauce. The sauce is quick to make and can be made kept for at least 3 days. The sauce can be tossed with any type of pasta like fusilli, penne, spaghetti and more. You can also add in some vegetables or meat to give in extra flavor.",Italian Recipes
Aamras Ki Kadhi Recipe - Mango Kadhi Recipe,"Aamras Ki Kadhi is a traditional spicy and sweet Gujarati recipe, a classical preparation of sweet and sour mango juice combined together with few selected ingredients. Perfect for those summer afternoon lunch or serve with rice or roti for lunch pack for any hot day in a year.",Gujarati Recipes﻿
Peri Peri Roasted Potato Wedges Recipe        ,Potato wedges flavored with Veeba Peri Peri Sauce makes a perfect finger food appetizer for parties. You can serve these potato wedges along with a Yogurt Dip or just as it is and it will taste delicious. It's healthy wholesome dish and makes a great tea time snack as well for kids when they get back from school or even for the tea parties.,Continental
Sindhi Pakwan Recipe - Crisp Delicious Puri,"Sindhi Pawan is a classic in Sindhi Crisp Puri recipe that is served along with Sindhi Chana Dal. Together the Dal Pakwan is considered to be a royal breakfast garnished with chutney and chopped onion. Pakwan is crispy fried pooris made with a mix of both wheat flour and all purpose flour. As the pakwan is fried and teamed up with chana dal, it becomes rich and heavy to digest. Hence a teaspoon of ajwain is mixed with the flour while making pakwan that consist amazing digestive properties and prevents you from feeling bloated.",Sindhi
Calamari Roast Recipe (Kerala Style Squid),"Squid/Calamari roast or kanava roast as is known in Kerala is a famous seafood dish. Squid is a good food source of zinc and manganese. It is usually cut in rings and cooked with spices and onion-tomato mix. Serve Calamari Roast Recipe (Kerala Style Squid) as a side dish along with Malabari Parotta Without Egg Recipe, Steamed Rice and Kerala Style Vegetable Stew Recipe with Coconut Milk and Meen Varuthathu Recipe | Kerala Style Fish Fry for a complete spicy treat on a weekend with family.",Kerala Recipes
Whole Wheat Crepe With Eggs And Roasted Peppers Recipe,Whole Wheat Crepe With Eggs And Roasted Peppers Recipe is a healthy breakfast recipe. Crepes are the most liked breakfast dish by many. You can fill them up with just about anything.,Continental
Roasted Vegetable Pasta In Creamy White Sauce,"The Roasted Vegetable Pasta In Creamy White Sauce is a filling one pot meal made with rich and creamy white sauce which is tossed with penne pasta and soft roasted vegetables. This pasta is made using Archana's Kitchen Quinoa Penne Pasta that has zero maida and is made from Quinoa and Durum Wheat which is high in protein, fibre and minerals. ",Italian Recipes
Paneer shashlik sizzler recipe,"Paneer Shashlik sizzler is an excellent and delicious party dish. This is a crowd pleaser and can be made when you have your relatives at home. In this recipe, fresh paneer and other assorted veggies are marinated in a spicy sauce and later grilled in a tandoor or a pan. The grilled paneer shashlik is later served in a sizzler pan with a bed of tempered rice and some salad on sides of it.",Continental
Tomato Basil Chicken Curry Recipe ,Tomato Basil Chicken Curry Recipe is a one pot dish that can be made in a jiffy. The recipes uses fresh produce to create a tangy flavour packed curry that can be paired with any flavoured rice or a toast of garlic bread.,Continental
Aloo Bhey Ki Sabzi Recipe (Potato Lotus Stem Curry),"Aloo Bhey Ki Sabzi Recipe is a delicious North Indian dish made of Potato and Lotus stem. It’s a simple preparation, but tastes heavenly both with rotis and rice. If you like to try something different, and want to taste lotus stems, this is a easy dish to prepare. You can make it as a side dish and it will perk up a simple weeknight dinner of Phulkas and Pumpkin Dal Tadka.",North Indian Recipes
Paneer In Coconut Gravy Recipe,"Paneer is widely used in North Indian recipes but we decided to give it a South Indian twist with the addition of coconut. In this recipe of Paneer In Coconut Gravy Recipe, paneer is marinated in a coconut and onion masala and then cooked in classic tomato onion gravy, then finally garnished with crushed kasuri methi.",North Indian Recipes
KFC Style Crispy Chicken Popcorn Recipe,"KFC Style Crispy Chicken Popcorn are bite sized chunks of chicken with a spicy rub, coated with flavoured breadcrumbs. This crunchy irresistible starter, with flavour packed tender meat on the inside, and golden & crispy coating on the outside is a must try recipe. It can be eaten as it is or served with a dip. ",American
Tomato Recipe Shorba,"Tomato shorba recipe is best recipe to warm up your rainy season, it is spicy in taste and full of flavour. The shorba is a part of turkish cuisines which is basically a kind of soup or stew. Shorba is derived from persian language, ""shor"" means salty and ""ba"" meaning stew. It is usually prepared from any meat and is stewed for a very long time.",Middle Eastern
Stockweight Pasta with Broccoli Recipe,Conchiglie Pasta With Broccoli Recipe is an incredibly yummy pasta recipe and easy to make too. This pasta recipe requires minimal preparation as well.,Italian Recipes
Chicken boil biryan recipe,Keema is a South Asian meat dish that literally means minced meat in Turkish. Keema can be made with any meat but usually Keema is associated with mutton mince. Vegetarians Keemas usually involve peas or cauliflower. Most Keemas are minced meats that are mixed with aromatic spices that are either eaten by itself or added to rice or stuffed in breads.,North Indian Recipes
Beetroot Salad Recipe with Mixed Greens & Feta Cheese,Beetroot Salad Recipe With Mixed Greens & Feta Cheese is a delicious and healthy salad recipe packed with the goodness of beetroot and variety of salad greens. Any combination of salad greens can be used to prepare this salad. The soft feta cheese adds to the punch of the salad and the roasted melon seeds add to the crunchiness of the salad.,Continental
Manipuri Style Tan Ngang Recipe - Refined Flour/Maida Indian Puri Recipe,Manipuri Style Tan Ngang Recipe is a Manipuri style Bread which is fried and made with refined maida flour and curd. The ingredients are mixed together to a smooth dough and then fried like a puri.,North East India Recipes
Thai Style Kai Jeow Moo Sab Recipe - Omelette with minced Chicken,"Thai Style Kai Jeow Moo Sab Recipe is a famous street food that is famous in Thailand. Most of the western omelet are prepared with less oil but when compared to this, the omelet is deep fried with lots of oil. The omelet is quite simple but comforting and it has a light golden brown color which is light fluffy in texture. In Thailand, most of the street food vendors use the kadai itself to make the omelette.",Thai
Shandong Style Scallion Pancakes Recipe,Shandong  Style Scallion Pancakes Recipe has considered as one of the flatbread originated from China. The unleavened dough is rolled very thin and folded with some chopped scallion and some oil and then folded over and rolled. It is a variation from the western pancakes which is made usually from the batter but these are made with a Dough.,Chinese
Oil Free Gujarati Undhiyu Recipe - No Onion No Garlic,"Undhiyu is a Gujarati mixed vegetable dish that is a regional specialty of Surat, India. The name of this dish comes from the Gujarati words ""matlu"" meaning earthen pot and ""undhu"" meaning upside down since they have been traditionally cooked upside down underground in earthen pots fired from above. The dish is made with seasonal vegetables during the winter season.",Gujarati Recipes﻿
Sriracha Hummus Recipe - Sriracha Flavoured Middle Eastern Dip ,"The Sriracha Hummus, is a healthy dip from the Middle East which is flavoured with Sriracha. Creamy, velvety and rich, this dip gets its extra zing from the hot chilli sauce - Sriracha.",Middle Eastern
Methi Masoor Dal Recipe With Whole Masoor,Methi Masoor Dal Recipe is a delicious lentil curry made with whole Masoor dal and fresh fenugreek leaves. This recipe is a healthy choice for the intake of everyday protein and is also packed with vitamins and minerals.,North Indian Recipes
Goruchikkudu Kaya With Peanut Podi Recipe - Cluster Beans With Peanut ,"Goruchikkudu Kaya which is the name for cluster beans in Telugu is a healthy and nutritious legume. It is known as Gavar in hindi, Kothavarangai in Tamil. It is a popular vegetable and goes well with both rice and roti. ",Andhra
Italian Arancini Rice Balls Recipe With Delicious Pasta Dipping Sauce,"The Italian Arancini Rice Balls Recipe or fried rice balls, are an easy and delicious Italian street food recipe that is flavored with cheese, basil along with cooked rice or risotto. This is a simple recipe that was inspired from an Italian restaurant in Rome. The crisp crust and soft inners make these fried rice balls absolutely delicious.",Italian Recipes
Haldi Ki Sabzi Recipe (Fresh Turmeric Root Vegetable),"Haldi Ki Sabzi Recipe is an authentic Rajasthani winter dish. In this recipe, fresh Haldi (turmeric) is grated and simmered with spices and yogurt gravy. The addition of black pepper along with the garam masala powder and curry leaves gives it a nice flavour. Serve Haldi Ki Sabzi Recipe (Fresh Turmeric Root Vegetable) with tawa tandoori roti for a lovely meal.",Rajasthani
Himachal Style Panchkuti Khichdi Recipe,Himachal Style Panchkuti Khichdi Recipe is a millet preparation with five different kinds of dal cooked in one pot. Khichdi is a preparation that is famous in North India that usually cooked either with a rice and any kind of dal. The Panchkuti has a goodness of all the dals that will benefit you in one dish. The whole spices are tempered with ghee and then poured over the khichdi which gives a distinct aroma and helps to lift up the flavor of the dish.,Himachal
Zucchini Boats With Chickpeas In Tomato Hummus Recipe,"Zucchini Boats With Chickpeas In Tomato Hummus is a healthy appetiser recipe with chickpeas in hummus and as topping. It is a loaded with veggie goodness, high in protein and has an element of fusion in the spices used. Prepare the spicy tomato hummus in advance and consider Zucchini Boats with chickpeas is half done. Zucchini Boats are low in calories, great for diabetics and also grain free.",Mediterranean
Tamatari chole recipe,Tamatari Chole Recipe is recipe that you must give it a try as you will love it to have them with hot phulkas or butter flavored Naan. The chickpeas are soaked up in a tangy spicy flavored curry.,North Indian Recipes
Chilli Paneer Recipe -Indo Chinese,"Chilli Paneer Recipe is a classic Indo Chinese dish that is inspired with the asian sauces using indian ingredients. By using paneer and thai red chillies, this dish gets a perfect kick in terms of hotness. It makes a great appetizer for parties and very easy to make as well.",North Indian Recipes
Paneer Stuffed Mushroom Masala Recipe ,Paneer Stuffed Mushroom Masala Recipe is a lip smacking gravy dish with paneer and mushrooms as the star ingredients. Mushrooms are stuffed with crumbled paneer and dunked in a spicy tomato gravy. This dish can be served with both naans as well as jeera rice. ,North Indian Recipes
